player_id,firstname,lastname,position,height,weight,byear,rookie,position.number,team_id
708,Kevin,Garnett,Forward-Center,83,253,1976,1995,8,1610612750
977,Kobe,Bryant,Guard,78,205,1978,1996,2,1610612747
1495,Tim,Duncan,Forward-Center,83,255,1976,1997,8,1610612759
1713,Vince,Carter,Guard-Forward,78,220,1977,1998,4,1610612763
1717,Dirk,Nowitzki,Forward-Center,84,245,1978,1998,8,1610612742
1718,Paul,Pierce,Guard-Forward,79,235,1977,1998,4,1610612746
1882,Elton,Brand,Forward-Center,81,254,1979,1999,8,1610612755
1889,Andre,Miller,Guard,74,200,1976,1999,2,1610612750
1891,Jason,Terry,Guard,74,180,1977,1999,2,1610612745
1897,Metta,World Peace,Forward,79,250,1979,1999,6,1610612747
1938,Manu,Ginobili,Guard-Forward,78,205,1977,2002,4,1610612759
2034,Mike,Miller,Guard-Forward,80,218,1980,2000,4,1610612743
2037,Jamal,Crawford,Guard,77,195,1980,2000,2,1610612746
2199,Tyson,Chandler,Center,85,245,1982,2001,9,1610612756
2200,Pau,Gasol,Forward-Center,84,275,1980,2001,8,1610612741
2207,Joe,Johnson,Guard-Forward,79,240,1981,2001,4,1610612751
2210,Richard,Jefferson,Small-Forward,79,234,1980,2001,5,1610612739
2216,Zach,Randolph,Forward-Center,81,260,1981,2001,8,1610612763
2225,Tony,Parker,Point-Guard,74,180,1982,2001,1,1610612759
2365,Chris,Andersen,Forward-Center,82,245,1978,2001,8,1610612763
2399,Mike,Dunleavy,Guard-Forward,81,230,1980,2002,4,1610612741
2400,Drew,Gooden,Power-Forward,82,250,1981,2002,7,1610612764
2403,NA,Nene,Forward-Center,83,267,1982,2002,8,1610612764
2405,Amar'e,Stoudemire,Forward-Center,83,245,1982,2002,8,1610612748
2406,Caron,Butler,Small-Forward,79,217,1980,2002,5,1610612758
2419,Tayshaun,Prince,Forward,81,215,1980,2002,6,1610612750
2440,Matt,Barnes,Small-Forward,79,226,1980,2003,5,1610612763
2446,Rasual,Butler,Guard-Forward,79,220,1979,2002,4,1610612759
2449,Luis,Scola,Forward-Center,81,240,1980,2007,8,1610612761
2544,LeBron,James,Forward,80,250,1984,2003,6,1610612739
2546,Carmelo,Anthony,Forward,80,240,1984,2003,6,1610612752
2547,Chris,Bosh,Forward-Center,83,235,1984,2003,8,1610612748
2548,Dwyane,Wade,Guard,76,220,1982,2003,2,1610612748
2549,Chris,Kaman,Forward-Center,84,265,1982,2003,8,1610612757
2550,Kirk,Hinrich,Guard,76,190,1981,2003,2,1610612737
2555,Nick,Collison,Forward-Center,82,255,1980,2004,8,1610612760
2561,David,West,Power-Forward,81,255,1980,2003,7,1610612759
2564,Boris,Diaw,Forward-Center,80,235,1982,2003,8,1610612759
2570,Kendrick,Perkins,Center,82,270,1984,2003,9,1610612740
2571,Leandro,Barbosa,Guard,75,194,1982,2003,2,1610612744
2581,Steve,Blake,Guard,75,175,1980,2003,2,1610612765
2585,Zaza,Pachulia,Center,83,240,1984,2003,9,1610612742
2588,Matt,Bonner,Power-Forward,82,235,1980,2004,7,1610612759
2590,Mo,Williams,Guard,73,195,1982,2003,2,1610612739
2592,James,Jones,Guard-Forward,80,215,1980,2003,4,1610612739
2594,Kyle,Korver,Guard-Forward,79,212,1981,2003,4,1610612737
2617,Udonis,Haslem,Power-Forward,80,235,1980,2003,7,1610612748
2730,Dwight,Howard,Forward-Center,83,265,1985,2004,8,1610612745
2733,Shaun,Livingston,Guard,79,175,1985,2004,2,1610612744
2734,Devin,Harris,Guard,75,185,1983,2004,2,1610612742
2736,Luol,Deng,Forward,81,220,1985,2004,6,1610612748
2738,Andre,Iguodala,Guard-Forward,78,218,1984,2004,4,1610612744
2743,Kris,Humphries,Forward-Center,81,235,1985,2004,8,1610612756
2744,Al,Jefferson,Forward-Center,82,289,1985,2004,8,1610612766
2746,Josh,Smith,Forward,81,225,1985,2004,6,1610612745
2747,J.R.,Smith,Guard-Forward,78,220,1985,2004,4,1610612739
2749,Jameer,Nelson,Point-Guard,72,190,1982,2004,1,1610612743
2754,Tony,Allen,Guard-Forward,76,213,1982,2004,4,1610612763
2755,Kevin,Martin,Guard-Forward,79,197,1983,2004,4,1610612750
2756,Sasha,Vujacic,Shooting-Guard,79,195,1984,2004,3,1610612752
2757,Beno,Udrih,Point-Guard,75,210,1982,2004,1,1610612748
2760,Anderson,Varejao,Forward-Center,83,267,1982,2004,8,1610612744
2772,Trevor,Ariza,Guard-Forward,80,210,1985,2004,4,1610612745
101106,Andrew,Bogut,Center,84,255,1984,2005,9,1610612744
101107,Marvin,Williams,Forward,81,237,1986,2005,6,1610612766
101108,Chris,Paul,Point-Guard,72,185,1985,2005,1,1610612746
101109,Raymond,Felton,Guard,73,205,1984,2005,2,1610612742
101111,Charlie,Villanueva,Power-Forward,83,232,1984,2005,7,1610612742
101112,Channing,Frye,Forward-Center,83,263,1983,2005,8,1610612739
101114,Deron,Williams,Point-Guard,75,209,1984,2005,1,1610612742
101123,Gerald,Green,Guard-Forward,80,199,1986,2005,4,1610612748
101126,Nate,Robinson,Guard,69,180,1984,2005,2,0
101127,Jarrett,Jack,Guard,75,200,1983,2005,2,1610612751
101133,Ian,Mahinmi,Center,83,250,1986,2007,9,1610612754
101135,David,Lee,Forward-Center,81,240,1983,2005,8,1610612742
101138,Brandon,Bass,Forward-Center,80,250,1985,2005,8,1610612747
101139,CJ,Miles,Guard-Forward,78,231,1987,2005,4,1610612754
101141,Ersan,Ilyasova,Forward,82,235,1987,2006,6,1610612753
101145,Monta,Ellis,Guard,75,185,1985,2005,2,1610612754
101150,Lou,Williams,Guard,73,175,1986,2005,2,1610612747
101161,Amir,Johnson,Forward-Center,81,237,1987,2005,8,1610612738
101162,Marcin,Gortat,Center,83,240,1984,2007,9,1610612764
101179,Ronnie,Price,Guard,74,190,1983,2005,2,1610612756
101181,Jose,Calderon,Point-Guard,75,200,1981,2005,1,1610612752
101187,Alan,Anderson,Guard-Forward,78,220,1982,2005,4,1610612764
101236,Charles,Hayes,Forward-Center,78,250,1983,2005,8,0
200745,Andrea,Bargnani,Forward-Center,84,250,1985,2006,8,0
200746,LaMarcus,Aldridge,Forward-Center,83,250,1985,2006,8,1610612759
200751,Randy,Foye,Guard,76,213,1983,2006,2,1610612760
200752,Rudy,Gay,Forward,80,230,1986,2006,6,1610612758
200755,JJ,Redick,Shooting-Guard,76,190,1984,2006,3,1610612746
200757,Thabo,Sefolosha,Guard-Forward,79,222,1984,2006,4,1610612737
200765,Rajon,Rondo,Point-Guard,73,186,1986,2006,1,1610612758
200768,Kyle,Lowry,Point-Guard,72,205,1986,2006,1,1610612761
200779,Steve,Novak,Forward,82,235,1983,2006,6,1610612749
200782,PJ,Tucker,Guard-Forward,78,235,1985,2006,4,1610612756
200794,Paul,Millsap,Forward-Center,80,258,1985,2006,8,1610612737
200797,Ryan,Hollins,Center,84,250,1984,2006,9,0
200811,Lou,Amundson,Power-Forward,81,225,1982,2006,7,1610612752
200826,Jose Juan,Barea,Point-Guard,72,178,1984,2006,1,1610612742
201142,Kevin,Durant,Forward,81,240,1988,2007,6,1610612760
201143,Al,Horford,Forward-Center,82,250,1986,2007,8,1610612737
201144,Mike,Conley,Point-Guard,73,180,1987,2007,1,1610612763
201145,Jeff,Green,Guard-Forward,81,235,1986,2007,4,1610612746
201147,Corey,Brewer,Guard-Forward,81,185,1986,2007,4,1610612745
201148,Brandan,Wright,Forward-Center,82,240,1987,2007,8,1610612763
201149,Joakim,Noah,Forward-Center,83,232,1985,2007,8,1610612741
201150,Spencer,Hawes,Forward-Center,85,245,1988,2007,8,1610612766
201152,Thaddeus,Young,Forward,80,220,1988,2007,6,1610612751
201155,Rodney,Stuckey,Guard,77,205,1986,2007,2,1610612754
201156,Nick,Young,Guard-Forward,79,210,1985,2007,4,1610612747
201158,Marco,Belinelli,Guard-Forward,77,195,1986,2007,4,1610612758
201160,Jason,Smith,Forward-Center,84,240,1986,2007,8,1610612753
201162,Jared,Dudley,Guard-Forward,79,225,1985,2007,4,1610612764
201163,Wilson,Chandler,Guard-Forward,80,225,1987,2007,4,1610612743
201166,Aaron,Brooks,Point-Guard,72,161,1985,2007,1,1610612741
201167,Arron,Afflalo,Guard-Forward,77,215,1985,2007,4,1610612752
201168,Tiago,Splitter,Center,83,245,1985,2010,9,1610612737
201171,Carl,Landry,Forward,81,248,1983,2007,6,1610612755
201177,Josh,McRoberts,Forward-Center,82,240,1987,2007,8,1610612748
201188,Marc,Gasol,Center,85,265,1985,2008,9,1610612763
201196,Ramon,Sessions,Guard,75,190,1986,2007,2,1610612764
201202,Joel,Anthony,Forward-Center,81,245,1982,2007,8,1610612765
201228,CJ,Watson,Point-Guard,74,180,1984,2007,1,1610612753
201229,Anthony,Tolliver,Forward,80,240,1985,2008,6,1610612765
201564,O.J.,Mayo,Guard,77,200,1987,2008,2,1610612749
201565,Derrick,Rose,Point-Guard,75,190,1988,2008,1,1610612741
201566,Russell,Westbrook,Point-Guard,75,200,1988,2008,1,1610612760
201567,Kevin,Love,Forward-Center,82,243,1988,2008,8,1610612739
201568,Danilo,Gallinari,Small-Forward,82,225,1988,2008,5,1610612743
201569,Eric,Gordon,Shooting-Guard,76,215,1988,2008,3,1610612740
201571,D.J.,Augustin,Point-Guard,72,183,1987,2008,1,1610612743
201572,Brook,Lopez,Center,84,275,1988,2008,9,1610612751
201573,Jerryd,Bayless,Guard,75,200,1988,2008,2,1610612749
201574,Jason,Thompson,Forward-Center,83,250,1986,2008,8,1610612744
201575,Brandon,Rush,Shooting-Guard,78,233,1985,2008,3,1610612744
201577,Robin,Lopez,Center,84,265,1988,2008,9,1610612752
201578,Marreese,Speights,Forward-Center,82,271,1987,2008,8,1610612744
201579,Roy,Hibbert,Center,86,285,1986,2008,9,1610612747
201580,JaVale,McGee,Center,84,252,1988,2008,9,1610612742
201581,JJ,Hickson,Forward-Center,81,242,1988,2008,8,0
201582,Alexis,Ajinca,Forward-Center,84,262,1988,2008,8,1610612740
201583,Ryan,Anderson,Forward-Center,82,240,1988,2008,8,1610612740
201584,Courtney,Lee,Guard-Forward,77,200,1985,2008,4,1610612766
201585,Kosta,Koufos,Forward-Center,84,265,1989,2008,8,1610612758
201586,Serge,Ibaka,Forward-Center,82,235,1989,2009,8,1610612760
201587,Nicolas,Batum,Guard-Forward,80,220,1988,2008,4,1610612766
201588,George,Hill,Guard,74,190,1986,2008,2,1610612754
201589,Darrell,Arthur,Forward-Center,81,225,1988,2008,8,1610612743
201593,Nikola,Pekovic,Center,83,285,1986,2010,9,1610612750
201596,Mario,Chalmers,Point-Guard,74,190,1986,2008,1,1610612763
201599,DeAndre,Jordan,Center,83,265,1988,2008,9,1610612746
201600,Omer,Asik,Forward-Center,84,255,1986,2010,8,1610612740
201601,Luc,Mbah a Moute,Forward,80,230,1986,2008,6,1610612746
201603,Sonny,Weems,Shooting-Guard,78,205,1986,2008,3,1610612756
201609,Goran,Dragic,Guard,75,187,1986,2008,2,1610612748
201619,Sasha,Kaun,Center,83,260,1985,2008,9,1610612739
201627,Anthony,Morrow,Guard-Forward,78,210,1985,2008,4,1610612760
201933,Blake,Griffin,Forward-Center,82,250,1989,2010,8,1610612746
201935,James,Harden,Guard-Forward,77,220,1989,2009,4,1610612745
201936,Tyreke,Evans,Guard-Forward,78,220,1989,2009,4,1610612740
201937,Ricky,Rubio,Point-Guard,76,185,1990,2011,1,1610612750
201939,Stephen,Curry,Guard,75,185,1988,2009,2,1610612744
201941,Jordan,Hill,Forward-Center,82,235,1987,2009,8,1610612754
201942,DeMar,DeRozan,Guard-Forward,79,217,1989,2009,4,1610612761
201943,Brandon,Jennings,Point-Guard,73,169,1989,2009,1,1610612753
201945,Gerald,Henderson,Guard-Forward,77,215,1987,2009,4,1610612757
201946,Tyler,Hansbrough,Forward-Center,81,250,1985,2009,8,1610612766
201949,James,Johnson,Forward,81,248,1987,2009,6,1610612761
201950,Jrue,Holiday,Point-Guard,76,205,1990,2009,1,1610612740
201951,Ty,Lawson,Point-Guard,71,195,1987,2009,1,1610612745
201952,Jeff,Teague,Point-Guard,74,181,1988,2009,1,1610612737
201954,Darren,Collison,Point-Guard,72,175,1987,2009,1,1610612758
201956,Omri,Casspi,Small-Forward,81,225,1988,2009,5,1610612758
201959,Taj,Gibson,Forward-Center,81,225,1985,2009,8,1610612741
201960,DeMarre,Carroll,Forward,80,212,1986,2009,6,1610612761
201961,Wayne,Ellington,Shooting-Guard,76,200,1987,2009,3,1610612751
201962,Toney,Douglas,Guard,74,185,1986,2009,2,1610612740
201965,Jeff,Ayres,Forward-Center,81,250,1987,2009,8,0
201967,Dante,Cunningham,Power-Forward,80,221,1987,2009,7,1610612740
